id,Name,Description,Link,Related countries,Target domain,Image_url
11,CEDEFOP's dashboard for greenness and green pervasiveness in occupations,"This dashboard shows trends in greenness and green pervasiveness  over time and within selected occupations for a chosen year/quarter. The word cloud displays the top 50 green skills for the selected occupations, defined by ESCO v 1.1.1 and augmented by Cedefop.",https://www.cedefop.europa.eu/en/tools/skills-online-vacancies/greenness-and-green-pervasiveness-occupations,EU countries,"Energy, green jobs",https://www.cedefop.europa.eu/files/images/logo-skills-online-vacancies.png
12,CEDEFOP's dashboard for greenness and green pervasiveness in sectors,"This dashboard presents trends in greenness and green pervasiveness over time and within selected sectors for a selected year/quarter. The word cloud displays the top 50 green skills for selected sectors, defined by ESCO v 1.1.1 and augmented by Cedefop.",https://www.cedefop.europa.eu/en/tools/skills-online-vacancies/greenness-and-green-pervasiveness-sectors,EU countries,"Energy, green jobs",https://www.cedefop.europa.eu/files/images/logo-skills-online-vacancies.png
13,CEDEFOP's dashboard for greenness and green pervasiveness across regions,"This dashboard presents trends in greenness and pervasiveness across occupations in NUTS II regions for a selected year/quarter. The word cloud displays the top 30 green skills for selected occupations, defined by ESCO v 1.1.1 and augmented by Cedefop.",https://cedefop.europa.eu/en/tools/skills-online-vacancies/greenness-and-green-pervasiveness-across-regions,EU countries,"Energy, green jobs",https://www.cedefop.europa.eu/files/images/logo-skills-online-vacancies.png
14,CEDEFOP's Green Observatory,"Cedefop Green Observatory (Cedefop GO) includes Cedefop’s work on the implications of the green transition on jobs and skills across sectors and occupations in the EU. To make the transition happen, young learners, workers and all citizens need to be equipped with green transition skills, knowledge and understanding.  Vocational education and training (VET) has a crucial role to play in supporting transitions in the short-term, as well as in reaching a new sustainability paradigm in the longer run.",https://www.cedefop.europa.eu/en/themes/green-observatory,EU countries,"Green Transition, VET",https://cepis.org/app/uploads/2019/12/Logo_Cedefop_1.jpg
15,Earthwatch education,Featured resources created by the Earthwatch Education team. Some of these resources have been created in collaboration with partners such as LEGO and Guinness World Records. ,https://edu.earthwatch.org.uk/featured,UK/EU,Green education,https://edu.earthwatch.org.uk/content-assets/public/eyJhbGciOiJIUzI1NiJ9.eyJvYmplY3Rfa2V5IjoibTEycTRwc3hxMHB5c3pxODJ1c3V0YWszcXNuaiIsImRvbWFpbiI6ImVkdS5lYXJ0aHdhdGNoLm9yZy51ayJ9.7JaRKJnfiJlm91tvEp-lYqJUWImgttJ4Kvdp-PjvsAo
16,Sustainable Development Observatory,"The Sustainable Development Observatory is a mechanism for recording and monitoring all Sustainable Development initiatives and actions that are developed at the Greek National level, in the threefold Economy - Environment - Society",https://observatory.sustainable-greece.com/home/?lang=en,GR,Green Initiatives Repository,https://observatory.sustainable-greece.com/_img/observatory-large-logo-new-en.png
17,WWF-Greece: Environmental Education,"Educational material directed to teachers, educators and youth workers that are interested in raising awareness in children and youth on important environmental issues. ",https://www.wwf.gr/en/knowledge_hub/environmental_education/,GR,Green education,https://cdnassets.panda.org/_skins/international/img/logo.png
18,SEV – Hellenic Federation of Enterprises: Green Growth & Sustainable Development,"Sustainability is imperative for long-term business success. By incorporating social and environmental criteria into their strategies, businesses can improve their ability to address regulatory, reputational, financial and liability risks, while enhancing their supply chain continuity, predictability, and resilience. SEV Business Council for Sustainable Development (SEV BCSD) role focuses on: a) scaling and accelerating businesses’ action in line with the EU Green Deal and the UN Sustainable Development Goals (SDGs), b) delivering solid business propositions to the public dialogue and creating a positive policy feedback loop that levels the playing field and turns climate and environmental challenges into opportunities.",https://en.sev.org.gr/business_priorities/green-growth-sustainability/,GR,Green business,https://en.sev.org.gr/wp-content/uploads/2018/01/sev-top-logo.png
19,UNESCO’s designated centre for technical and vocational education and training (TVET): Glossary,"Glossary of VET related terms, including various terms regarding green skills and the green transition",https://unevoc.unesco.org/home/TVETipedia+Glossary/lang=en/show=term/term=Green+skills,Global,Glossary,https://unevoc.unesco.org/august/logo-unevoc.png
20,UNESCO’s designated centre for technical and vocational education and training (TVET): Green toolkits,"This platform aims to provide TVET stakeholders and practitioners with information on free-to-use toolkits that are available online. The purpose of such toolkits ranges from facilitating TVET providers' 'self-reflection' on aspects of their provision to quantitative performance assessments. Some toolkits have a thematic focus (e.g. on digitalization or greening) whereas others have an organizational focus. For some themes, there are multiple toolkits, for example to assess and/or reflect upon teacher/trainer training needs. The purpose of this database is to bring the many and varied toolkits into one place and to provide a guide and resource for:",https://unevoc.unesco.org/home/Toolkits+for+TVET+providers/lang=en#tbar,Global,Repository of toolkits,https://unevoc.unesco.org/august/logo-unevoc.png
